,ped_number,PED_Name,Dimension,File,DimensionID,Value,GNR
175228,21,Calgary-North West,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,365.00,2.9%
175229,21,Calgary-North West,Master's degree,2,1826,"2,985.00",2.9%
183386,22,Calgary-Peigan,"No certificate, diploma or degree",2,1814,"3,210.00",3.7%
183387,22,Calgary-Peigan,Secondary (high) school diploma or equivalency certificate,2,1815,"7,310.00",3.7%
183388,22,Calgary-Peigan,"Postsecondary certificate, diploma or degree",2,1816,"16,775.00",3.7%
183389,22,Calgary-Peigan,Apprenticeship or trades certificate or diploma,2,1817,"2,820.00",3.7%
183390,22,Calgary-Peigan,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,835.00,3.7%
183391,22,Calgary-Peigan,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,985.00",3.7%
183392,22,Calgary-Peigan,"College, CEGEP or other non-university certificate or diploma",2,1820,"6,430.00",3.7%
183393,22,Calgary-Peigan,University certificate or diploma below bachelor level,2,1821,935.00,3.7%
183394,22,Calgary-Peigan,"University certificate, diploma or degree at bachelor level or above",2,1822,"6,590.00",3.7%
183395,22,Calgary-Peigan,Bachelor's degree,2,1823,"5,030.00",3.7%
183396,22,Calgary-Peigan,University certificate or diploma above bachelor level,2,1824,350.00,3.7%
183397,22,Calgary-Peigan,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,100.00,3.7%
183398,22,Calgary-Peigan,Master's degree,2,1826,"1,030.00",3.7%
191555,23,Calgary-Shaw,"No certificate, diploma or degree",2,1814,"1,255.00",3.2%
191556,23,Calgary-Shaw,Secondary (high) school diploma or equivalency certificate,2,1815,"5,515.00",3.2%
191557,23,Calgary-Shaw,"Postsecondary certificate, diploma or degree",2,1816,"19,340.00",3.2%
191558,23,Calgary-Shaw,Apprenticeship or trades certificate or diploma,2,1817,"2,080.00",3.2%
191559,23,Calgary-Shaw,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,590.00,3.2%
191560,23,Calgary-Shaw,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,485.00",3.2%
191561,23,Calgary-Shaw,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,950.00",3.2%
191562,23,Calgary-Shaw,University certificate or diploma below bachelor level,2,1821,"1,175.00",3.2%
191563,23,Calgary-Shaw,"University certificate, diploma or degree at bachelor level or above",2,1822,"10,140.00",3.2%
191564,23,Calgary-Shaw,Bachelor's degree,2,1823,"7,430.00",3.2%
191565,23,Calgary-Shaw,University certificate or diploma above bachelor level,2,1824,555.00,3.2%
191566,23,Calgary-Shaw,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,265.00,3.2%
191567,23,Calgary-Shaw,Master's degree,2,1826,"1,735.00",3.2%
199724,24,Calgary-South East,"No certificate, diploma or degree",2,1814,"1,005.00",2.8%
199725,24,Calgary-South East,Secondary (high) school diploma or equivalency certificate,2,1815,"5,005.00",2.8%
199726,24,Calgary-South East,"Postsecondary certificate, diploma or degree",2,1816,"18,180.00",2.8%
199727,24,Calgary-South East,Apprenticeship or trades certificate or diploma,2,1817,"2,220.00",2.8%
199728,24,Calgary-South East,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,640.00,2.8%
199729,24,Calgary-South East,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,580.00",2.8%
199730,24,Calgary-South East,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,620.00",2.8%
199731,24,Calgary-South East,University certificate or diploma below bachelor level,2,1821,"1,000.00",2.8%
199732,24,Calgary-South East,"University certificate, diploma or degree at bachelor level or above",2,1822,"9,335.00",2.8%
199733,24,Calgary-South East,Bachelor's degree,2,1823,"6,880.00",2.8%
199734,24,Calgary-South East,University certificate or diploma above bachelor level,2,1824,420.00,2.8%
199735,24,Calgary-South East,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,240.00,2.8%
199736,24,Calgary-South East,Master's degree,2,1826,"1,625.00",2.8%
207893,25,Calgary-Varsity,"No certificate, diploma or degree",2,1814,835.00,6.4%
207894,25,Calgary-Varsity,Secondary (high) school diploma or equivalency certificate,2,1815,"3,535.00",6.4%
207895,25,Calgary-Varsity,"Postsecondary certificate, diploma or degree",2,1816,"19,860.00",6.4%
207896,25,Calgary-Varsity,Apprenticeship or trades certificate or diploma,2,1817,"1,020.00",6.4%
207897,25,Calgary-Varsity,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,335.00,6.4%
207898,25,Calgary-Varsity,Certificate of Apprenticeship or Certificate of Qualification,2,1819,685.00,6.4%
207899,25,Calgary-Varsity,"College, CEGEP or other non-university certificate or diploma",2,1820,"3,855.00",6.4%
207900,25,Calgary-Varsity,University certificate or diploma below bachelor level,2,1821,670.00,6.4%
207901,25,Calgary-Varsity,"University certificate, diploma or degree at bachelor level or above",2,1822,"14,315.00",6.4%
207902,25,Calgary-Varsity,Bachelor's degree,2,1823,"8,410.00",6.4%
207903,25,Calgary-Varsity,University certificate or diploma above bachelor level,2,1824,520.00,6.4%
207904,25,Calgary-Varsity,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,660.00,6.4%
207905,25,Calgary-Varsity,Master's degree,2,1826,"3,570.00",6.4%
216062,26,Calgary-West,"No certificate, diploma or degree",2,1814,555.00,3.1%
216063,26,Calgary-West,Secondary (high) school diploma or equivalency certificate,2,1815,"3,275.00",3.1%
216064,26,Calgary-West,"Postsecondary certificate, diploma or degree",2,1816,"21,400.00",3.1%
216065,26,Calgary-West,Apprenticeship or trades certificate or diploma,2,1817,805.00,3.1%
216066,26,Calgary-West,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,345.00,3.1%
216067,26,Calgary-West,Certificate of Apprenticeship or Certificate of Qualification,2,1819,470.00,3.1%
216068,26,Calgary-West,"College, CEGEP or other non-university certificate or diploma",2,1820,"4,205.00",3.1%
216069,26,Calgary-West,University certificate or diploma below bachelor level,2,1821,910.00,3.1%
216070,26,Calgary-West,"University certificate, diploma or degree at bachelor level or above",2,1822,"15,475.00",3.1%
216071,26,Calgary-West,Bachelor's degree,2,1823,"10,120.00",3.1%
216072,26,Calgary-West,University certificate or diploma above bachelor level,2,1824,825.00,3.1%
216073,26,Calgary-West,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,555.00,3.1%
216074,26,Calgary-West,Master's degree,2,1826,"3,425.00",3.1%
224231,27,Edmonton-Beverly-Clareview,"No certificate, diploma or degree",2,1814,"4,250.00",4.1%
224232,27,Edmonton-Beverly-Clareview,Secondary (high) school diploma or equivalency certificate,2,1815,"7,880.00",4.1%
224233,27,Edmonton-Beverly-Clareview,"Postsecondary certificate, diploma or degree",2,1816,"14,010.00",4.1%
224234,27,Edmonton-Beverly-Clareview,Apprenticeship or trades certificate or diploma,2,1817,"3,080.00",4.1%
224235,27,Edmonton-Beverly-Clareview,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,915.00,4.1%
224236,27,Edmonton-Beverly-Clareview,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"2,165.00",4.1%
224237,27,Edmonton-Beverly-Clareview,"College, CEGEP or other non-university certificate or diploma",2,1820,"6,065.00",4.1%
224238,27,Edmonton-Beverly-Clareview,University certificate or diploma below bachelor level,2,1821,815.00,4.1%
224239,27,Edmonton-Beverly-Clareview,"University certificate, diploma or degree at bachelor level or above",2,1822,"4,055.00",4.1%
224240,27,Edmonton-Beverly-Clareview,Bachelor's degree,2,1823,"3,040.00",4.1%
224241,27,Edmonton-Beverly-Clareview,University certificate or diploma above bachelor level,2,1824,255.00,4.1%
224242,27,Edmonton-Beverly-Clareview,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,65.00,4.1%
224243,27,Edmonton-Beverly-Clareview,Master's degree,2,1826,620.00,4.1%
232400,28,Edmonton-Castle Downs,"No certificate, diploma or degree",2,1814,"3,085.00",4.0%
232401,28,Edmonton-Castle Downs,Secondary (high) school diploma or equivalency certificate,2,1815,"6,910.00",4.0%
232402,28,Edmonton-Castle Downs,"Postsecondary certificate, diploma or degree",2,1816,"15,080.00",4.0%
232403,28,Edmonton-Castle Downs,Apprenticeship or trades certificate or diploma,2,1817,"2,825.00",4.0%
232404,28,Edmonton-Castle Downs,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,730.00,4.0%
232405,28,Edmonton-Castle Downs,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"2,095.00",4.0%
232406,28,Edmonton-Castle Downs,"College, CEGEP or other non-university certificate or diploma",2,1820,"6,170.00",4.0%
232407,28,Edmonton-Castle Downs,University certificate or diploma below bachelor level,2,1821,890.00,4.0%
232408,28,Edmonton-Castle Downs,"University certificate, diploma or degree at bachelor level or above",2,1822,"5,195.00",4.0%
232409,28,Edmonton-Castle Downs,Bachelor's degree,2,1823,"4,015.00",4.0%
232410,28,Edmonton-Castle Downs,University certificate or diploma above bachelor level,2,1824,320.00,4.0%
232411,28,Edmonton-Castle Downs,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,100.00,4.0%
232412,28,Edmonton-Castle Downs,Master's degree,2,1826,675.00,4.0%
240569,29,Edmonton-City Centre,"No certificate, diploma or degree",2,1814,"2,860.00",7.1%
240570,29,Edmonton-City Centre,Secondary (high) school diploma or equivalency certificate,2,1815,"6,605.00",7.1%
240571,29,Edmonton-City Centre,"Postsecondary certificate, diploma or degree",2,1816,"22,255.00",7.1%
240572,29,Edmonton-City Centre,Apprenticeship or trades certificate or diploma,2,1817,"2,100.00",7.1%
240573,29,Edmonton-City Centre,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,710.00,7.1%
240574,29,Edmonton-City Centre,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,385.00",7.1%
240575,29,Edmonton-City Centre,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,455.00",7.1%
240576,29,Edmonton-City Centre,University certificate or diploma below bachelor level,2,1821,"1,150.00",7.1%
240577,29,Edmonton-City Centre,"University certificate, diploma or degree at bachelor level or above",2,1822,"13,555.00",7.1%
240578,29,Edmonton-City Centre,Bachelor's degree,2,1823,"8,645.00",7.1%
240579,29,Edmonton-City Centre,University certificate or diploma above bachelor level,2,1824,625.00,7.1%
240580,29,Edmonton-City Centre,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,390.00,7.1%
240581,29,Edmonton-City Centre,Master's degree,2,1826,"3,225.00",7.1%
248738,30,Edmonton-Decore,"No certificate, diploma or degree",2,1814,"4,810.00",4.3%
248739,30,Edmonton-Decore,Secondary (high) school diploma or equivalency certificate,2,1815,"7,725.00",4.3%
248740,30,Edmonton-Decore,"Postsecondary certificate, diploma or degree",2,1816,"12,820.00",4.3%
248741,30,Edmonton-Decore,Apprenticeship or trades certificate or diploma,2,1817,"2,690.00",4.3%
248742,30,Edmonton-Decore,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,745.00,4.3%
248743,30,Edmonton-Decore,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,945.00",4.3%
248744,30,Edmonton-Decore,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,400.00",4.3%
248745,30,Edmonton-Decore,University certificate or diploma below bachelor level,2,1821,840.00,4.3%
248746,30,Edmonton-Decore,"University certificate, diploma or degree at bachelor level or above",2,1822,"3,895.00",4.3%
248747,30,Edmonton-Decore,Bachelor's degree,2,1823,"2,895.00",4.3%
248748,30,Edmonton-Decore,University certificate or diploma above bachelor level,2,1824,295.00,4.3%
248749,30,Edmonton-Decore,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,125.00,4.3%
248750,30,Edmonton-Decore,Master's degree,2,1826,540.00,4.3%
256907,31,Edmonton-Ellerslie,"No certificate, diploma or degree",2,1814,"2,280.00",3.2%
256908,31,Edmonton-Ellerslie,Secondary (high) school diploma or equivalency certificate,2,1815,"6,345.00",3.2%
256909,31,Edmonton-Ellerslie,"Postsecondary certificate, diploma or degree",2,1816,"20,040.00",3.2%
256910,31,Edmonton-Ellerslie,Apprenticeship or trades certificate or diploma,2,1817,"2,815.00",3.2%
256911,31,Edmonton-Ellerslie,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,850.00,3.2%
256912,31,Edmonton-Ellerslie,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,970.00",3.2%
256913,31,Edmonton-Ellerslie,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,740.00",3.2%
256914,31,Edmonton-Ellerslie,University certificate or diploma below bachelor level,2,1821,"1,245.00",3.2%
256915,31,Edmonton-Ellerslie,"University certificate, diploma or degree at bachelor level or above",2,1822,"10,235.00",3.2%
256916,31,Edmonton-Ellerslie,Bachelor's degree,2,1823,"7,185.00",3.2%
256917,31,Edmonton-Ellerslie,University certificate or diploma above bachelor level,2,1824,570.00,3.2%
256918,31,Edmonton-Ellerslie,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,240.00,3.2%
256919,31,Edmonton-Ellerslie,Master's degree,2,1826,"2,030.00",3.2%
265076,32,Edmonton-Glenora,"No certificate, diploma or degree",2,1814,"3,290.00",5.9%
265077,32,Edmonton-Glenora,Secondary (high) school diploma or equivalency certificate,2,1815,"6,835.00",5.9%
265078,32,Edmonton-Glenora,"Postsecondary certificate, diploma or degree",2,1816,"16,835.00",5.9%
265079,32,Edmonton-Glenora,Apprenticeship or trades certificate or diploma,2,1817,"2,630.00",5.9%
265080,32,Edmonton-Glenora,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,905.00,5.9%
265081,32,Edmonton-Glenora,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,725.00",5.9%
265082,32,Edmonton-Glenora,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,585.00",5.9%
265083,32,Edmonton-Glenora,University certificate or diploma below bachelor level,2,1821,960.00,5.9%
265084,32,Edmonton-Glenora,"University certificate, diploma or degree at bachelor level or above",2,1822,"7,665.00",5.9%
265085,32,Edmonton-Glenora,Bachelor's degree,2,1823,"5,190.00",5.9%
265086,32,Edmonton-Glenora,University certificate or diploma above bachelor level,2,1824,465.00,5.9%
265087,32,Edmonton-Glenora,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,235.00,5.9%
265088,32,Edmonton-Glenora,Master's degree,2,1826,"1,445.00",5.9%
273245,33,Edmonton-Gold Bar,"No certificate, diploma or degree",2,1814,"2,210.00",4.9%
273246,33,Edmonton-Gold Bar,Secondary (high) school diploma or equivalency certificate,2,1815,"5,800.00",4.9%
273247,33,Edmonton-Gold Bar,"Postsecondary certificate, diploma or degree",2,1816,"17,740.00",4.9%
273248,33,Edmonton-Gold Bar,Apprenticeship or trades certificate or diploma,2,1817,"2,825.00",4.9%
273249,33,Edmonton-Gold Bar,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,675.00,4.9%
273250,33,Edmonton-Gold Bar,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"2,145.00",4.9%
273251,33,Edmonton-Gold Bar,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,695.00",4.9%
273252,33,Edmonton-Gold Bar,University certificate or diploma below bachelor level,2,1821,825.00,4.9%
273253,33,Edmonton-Gold Bar,"University certificate, diploma or degree at bachelor level or above",2,1822,"8,395.00",4.9%
273254,33,Edmonton-Gold Bar,Bachelor's degree,2,1823,"5,700.00",4.9%
273255,33,Edmonton-Gold Bar,University certificate or diploma above bachelor level,2,1824,455.00,4.9%
273256,33,Edmonton-Gold Bar,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,145.00,4.9%
273257,33,Edmonton-Gold Bar,Master's degree,2,1826,"1,670.00",4.9%
281414,34,Edmonton-Highlands-Norwood,"No certificate, diploma or degree",2,1814,"4,960.00",7.6%
281415,34,Edmonton-Highlands-Norwood,Secondary (high) school diploma or equivalency certificate,2,1815,"6,455.00",7.6%
281416,34,Edmonton-Highlands-Norwood,"Postsecondary certificate, diploma or degree",2,1816,"13,950.00",7.6%
281417,34,Edmonton-Highlands-Norwood,Apprenticeship or trades certificate or diploma,2,1817,"2,490.00",7.6%
281418,34,Edmonton-Highlands-Norwood,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,820.00,7.6%
281419,34,Edmonton-Highlands-Norwood,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,665.00",7.6%
281420,34,Edmonton-Highlands-Norwood,"College, CEGEP or other non-university certificate or diploma",2,1820,"4,935.00",7.6%
281421,34,Edmonton-Highlands-Norwood,University certificate or diploma below bachelor level,2,1821,710.00,7.6%
281422,34,Edmonton-Highlands-Norwood,"University certificate, diploma or degree at bachelor level or above",2,1822,"5,810.00",7.6%
281423,34,Edmonton-Highlands-Norwood,Bachelor's degree,2,1823,"3,885.00",7.6%
281424,34,Edmonton-Highlands-Norwood,University certificate or diploma above bachelor level,2,1824,310.00,7.6%
281425,34,Edmonton-Highlands-Norwood,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,95.00,7.6%
281426,34,Edmonton-Highlands-Norwood,Master's degree,2,1826,"1,240.00",7.6%
289583,35,Edmonton-Manning,"No certificate, diploma or degree",2,1814,"3,500.00",3.7%
289584,35,Edmonton-Manning,Secondary (high) school diploma or equivalency certificate,2,1815,"7,565.00",3.7%
289585,35,Edmonton-Manning,"Postsecondary certificate, diploma or degree",2,1816,"15,895.00",3.7%
289586,35,Edmonton-Manning,Apprenticeship or trades certificate or diploma,2,1817,"3,150.00",3.7%
289587,35,Edmonton-Manning,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,"1,010.00",3.7%
289588,35,Edmonton-Manning,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"2,140.00",3.7%
289589,35,Edmonton-Manning,"College, CEGEP or other non-university certificate or diploma",2,1820,"6,190.00",3.7%
289590,35,Edmonton-Manning,University certificate or diploma below bachelor level,2,1821,970.00,3.7%
289591,35,Edmonton-Manning,"University certificate, diploma or degree at bachelor level or above",2,1822,"5,580.00",3.7%
289592,35,Edmonton-Manning,Bachelor's degree,2,1823,"4,145.00",3.7%
289593,35,Edmonton-Manning,University certificate or diploma above bachelor level,2,1824,300.00,3.7%
289594,35,Edmonton-Manning,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,115.00,3.7%
289595,35,Edmonton-Manning,Master's degree,2,1826,940.00,3.7%
297752,36,Edmonton-McClung,"No certificate, diploma or degree",2,1814,"2,385.00",4.8%
297753,36,Edmonton-McClung,Secondary (high) school diploma or equivalency certificate,2,1815,"6,305.00",4.8%
297754,36,Edmonton-McClung,"Postsecondary certificate, diploma or degree",2,1816,"15,870.00",4.8%
297755,36,Edmonton-McClung,Apprenticeship or trades certificate or diploma,2,1817,"2,080.00",4.8%
297756,36,Edmonton-McClung,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,710.00,4.8%
297757,36,Edmonton-McClung,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,375.00",4.8%
297758,36,Edmonton-McClung,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,250.00",4.8%
297759,36,Edmonton-McClung,University certificate or diploma below bachelor level,2,1821,"1,005.00",4.8%
297760,36,Edmonton-McClung,"University certificate, diploma or degree at bachelor level or above",2,1822,"7,535.00",4.8%
297761,36,Edmonton-McClung,Bachelor's degree,2,1823,"5,300.00",4.8%
297762,36,Edmonton-McClung,University certificate or diploma above bachelor level,2,1824,485.00,4.8%
297763,36,Edmonton-McClung,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,315.00,4.8%
297764,36,Edmonton-McClung,Master's degree,2,1826,"1,235.00",4.8%
305921,37,Edmonton-Meadows,"No certificate, diploma or degree",2,1814,"2,990.00",3.1%
305922,37,Edmonton-Meadows,Secondary (high) school diploma or equivalency certificate,2,1815,"8,360.00",3.1%
305923,37,Edmonton-Meadows,"Postsecondary certificate, diploma or degree",2,1816,"18,280.00",3.1%
305924,37,Edmonton-Meadows,Apprenticeship or trades certificate or diploma,2,1817,"2,850.00",3.1%
305925,37,Edmonton-Meadows,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,830.00,3.1%
305926,37,Edmonton-Meadows,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"2,025.00",3.1%
305927,37,Edmonton-Meadows,"College, CEGEP or other non-university certificate or diploma",2,1820,"6,060.00",3.1%
305928,37,Edmonton-Meadows,University certificate or diploma below bachelor level,2,1821,"1,120.00",3.1%
305929,37,Edmonton-Meadows,"University certificate, diploma or degree at bachelor level or above",2,1822,"8,250.00",3.1%
305930,37,Edmonton-Meadows,Bachelor's degree,2,1823,"5,835.00",3.1%
305931,37,Edmonton-Meadows,University certificate or diploma above bachelor level,2,1824,375.00,3.1%
305932,37,Edmonton-Meadows,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,195.00,3.1%
305933,37,Edmonton-Meadows,Master's degree,2,1826,"1,695.00",3.1%
314090,38,Edmonton-Mill Woods,"No certificate, diploma or degree",2,1814,"3,110.00",3.8%
314091,38,Edmonton-Mill Woods,Secondary (high) school diploma or equivalency certificate,2,1815,"7,785.00",3.8%
314092,38,Edmonton-Mill Woods,"Postsecondary certificate, diploma or degree",2,1816,"16,335.00",3.8%
314093,38,Edmonton-Mill Woods,Apprenticeship or trades certificate or diploma,2,1817,"2,990.00",3.8%
314094,38,Edmonton-Mill Woods,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,775.00,3.8%
314095,38,Edmonton-Mill Woods,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"2,220.00",3.8%
314096,38,Edmonton-Mill Woods,"College, CEGEP or other non-university certificate or diploma",2,1820,"6,005.00",3.8%
314097,38,Edmonton-Mill Woods,University certificate or diploma below bachelor level,2,1821,"1,005.00",3.8%
314098,38,Edmonton-Mill Woods,"University certificate, diploma or degree at bachelor level or above",2,1822,"6,335.00",3.8%
314099,38,Edmonton-Mill Woods,Bachelor's degree,2,1823,"4,435.00",3.8%
314100,38,Edmonton-Mill Woods,University certificate or diploma above bachelor level,2,1824,405.00,3.8%
314101,38,Edmonton-Mill Woods,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,110.00,3.8%
314102,38,Edmonton-Mill Woods,Master's degree,2,1826,"1,255.00",3.8%
322259,39,Edmonton-North West,"No certificate, diploma or degree",2,1814,"3,245.00",4.6%
322260,39,Edmonton-North West,Secondary (high) school diploma or equivalency certificate,2,1815,"6,735.00",4.6%
322261,39,Edmonton-North West,"Postsecondary certificate, diploma or degree",2,1816,"14,875.00",4.6%
322262,39,Edmonton-North West,Apprenticeship or trades certificate or diploma,2,1817,"2,660.00",4.6%
322263,39,Edmonton-North West,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,765.00,4.6%
322264,39,Edmonton-North West,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,900.00",4.6%
322265,39,Edmonton-North West,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,365.00",4.6%
322266,39,Edmonton-North West,University certificate or diploma below bachelor level,2,1821,880.00,4.6%
322267,39,Edmonton-North West,"University certificate, diploma or degree at bachelor level or above",2,1822,"5,980.00",4.6%
322268,39,Edmonton-North West,Bachelor's degree,2,1823,"4,465.00",4.6%
322269,39,Edmonton-North West,University certificate or diploma above bachelor level,2,1824,315.00,4.6%
322270,39,Edmonton-North West,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,250.00,4.6%
322271,39,Edmonton-North West,Master's degree,2,1826,815.00,4.6%
330428,40,Edmonton-Riverview,"No certificate, diploma or degree",2,1814,"1,930.00",6.4%
330429,40,Edmonton-Riverview,Secondary (high) school diploma or equivalency certificate,2,1815,"5,010.00",6.4%
330430,40,Edmonton-Riverview,"Postsecondary certificate, diploma or degree",2,1816,"17,080.00",6.4%
330431,40,Edmonton-Riverview,Apprenticeship or trades certificate or diploma,2,1817,"1,970.00",6.4%
330432,40,Edmonton-Riverview,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,570.00,6.4%
330433,40,Edmonton-Riverview,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,400.00",6.4%
330434,40,Edmonton-Riverview,"College, CEGEP or other non-university certificate or diploma",2,1820,"4,305.00",6.4%
330435,40,Edmonton-Riverview,University certificate or diploma below bachelor level,2,1821,785.00,6.4%
330436,40,Edmonton-Riverview,"University certificate, diploma or degree at bachelor level or above",2,1822,"10,015.00",6.4%
330437,40,Edmonton-Riverview,Bachelor's degree,2,1823,"6,120.00",6.4%
330438,40,Edmonton-Riverview,University certificate or diploma above bachelor level,2,1824,600.00,6.4%
330439,40,Edmonton-Riverview,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,585.00,6.4%
330440,40,Edmonton-Riverview,Master's degree,2,1826,"2,065.00",6.4%
338597,41,Edmonton-Rutherford,"No certificate, diploma or degree",2,1814,"1,425.00",4.0%
338598,41,Edmonton-Rutherford,Secondary (high) school diploma or equivalency certificate,2,1815,"4,670.00",4.0%
338599,41,Edmonton-Rutherford,"Postsecondary certificate, diploma or degree",2,1816,"18,950.00",4.0%
338600,41,Edmonton-Rutherford,Apprenticeship or trades certificate or diploma,2,1817,"1,815.00",4.0%
338601,41,Edmonton-Rutherford,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,575.00,4.0%
338602,41,Edmonton-Rutherford,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,235.00",4.0%
338603,41,Edmonton-Rutherford,"College, CEGEP or other non-university certificate or diploma",2,1820,"4,710.00",4.0%
338604,41,Edmonton-Rutherford,University certificate or diploma below bachelor level,2,1821,"1,000.00",4.0%
338605,41,Edmonton-Rutherford,"University certificate, diploma or degree at bachelor level or above",2,1822,"11,425.00",4.0%
338606,41,Edmonton-Rutherford,Bachelor's degree,2,1823,"7,090.00",4.0%
338607,41,Edmonton-Rutherford,University certificate or diploma above bachelor level,2,1824,545.00,4.0%
338608,41,Edmonton-Rutherford,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,470.00,4.0%
338609,41,Edmonton-Rutherford,Master's degree,2,1826,"2,520.00",4.0%
346766,42,Edmonton-South,"No certificate, diploma or degree",2,1814,"1,195.00",3.1%
346767,42,Edmonton-South,Secondary (high) school diploma or equivalency certificate,2,1815,"4,700.00",3.1%
346768,42,Edmonton-South,"Postsecondary certificate, diploma or degree",2,1816,"21,035.00",3.1%
346769,42,Edmonton-South,Apprenticeship or trades certificate or diploma,2,1817,"1,920.00",3.1%
346770,42,Edmonton-South,Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,2,1818,565.00,3.1%
346771,42,Edmonton-South,Certificate of Apprenticeship or Certificate of Qualification,2,1819,"1,355.00",3.1%
346772,42,Edmonton-South,"College, CEGEP or other non-university certificate or diploma",2,1820,"5,575.00",3.1%
346773,42,Edmonton-South,University certificate or diploma below bachelor level,2,1821,"1,145.00",3.1%
346774,42,Edmonton-South,"University certificate, diploma or degree at bachelor level or above",2,1822,"12,395.00",3.1%
346775,42,Edmonton-South,Bachelor's degree,2,1823,"8,240.00",3.1%
346776,42,Edmonton-South,University certificate or diploma above bachelor level,2,1824,555.00,3.1%
346777,42,Edmonton-South,"Degree in medicine, dentistry, veterinary medicine or optometry",2,1825,535.00,3.1%
346778,42,Edmonton-South,Master's degree,2,1826,"2,480.00",3.1%
354935,43,Edmonton-South West,"No certificate, diploma or degree",2,1814,"1,230.00",2.7%
